service,month,year,calls_handled,average_wait,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
General Inquiry queues (English + French),Mar,2018,"11,925",0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Inquiry queues (English + French),Apr,2018,"9,571",0.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Inquiry queues (English + French),May,2018,"11,881",0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Inquiry queues (English + French),Jun,2018,"11,228",0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Inquiry queues (English + French),Jul,2018,"13,226",0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Inquiry queues (English + French),Aug,2018,"13,950",0.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Inquiry queues (English + French),Sep,2018,"11,772",0.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Inquiry queues (English + French),Oct,2018,"12,467",0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Inquiry queues (English + French),Nov,2018,"12,136",0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Inquiry queues (English + French),Dec,2018,"9,815",0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Inquiry queues (English + French),Jan,2019,"11,435",0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Inquiry queues (English + French),Feb,2019,"10,122",0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Inquiry queues (English + French),Mar,2019,"11,512",0.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Inquiry queues (English + French),Apr,2019,"11,426",0.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Inquiry queues (English + French),May,2019,"12,508",0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Inquiry queues (English + French),Jun,2019,"10,843",0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Inquiry queues (English + French),Jul,2019,"11,103",1.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Inquiry queues (English + French),Aug,2019,"11,355",0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Inquiry queues (English + French),Sep,2019,"10,570",0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic Income (English + French),Apr,2017,306,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic Income (English + French),May,2017,371,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic Income (English + French),Jun,2017,222,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic Income (English + French),Jul,2017,110,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic Income (English + French),Aug,2017,427,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic Income (English + French),Sep,2017,931,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic Income (English + French),Oct,2017,"1,267",0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic Income (English + French),Nov,2017,"1,879",0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic Income (English + French),Dec,2017,"1,672",0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic Income (English + French),Jan,2018,"1,958",0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic Income (English + French),Feb,2018,"1,714",0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic Income (English + French),Mar,2018,"2,005",0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic Income (English + French),Apr,2018,"2,120",1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic Income (English + French),May,2018,"1,234",0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic Income (English + French),Jun,2018,541,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic Income (English + French) DISCONTINUED,Jul,2018,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transfer Payment Common Registration & Grants Ontario Queues (English + French),Apr,2017,722,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transfer Payment Common Registration & Grants Ontario Queues (English + French),May,2017,773,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transfer Payment Common Registration & Grants Ontario Queues (English + French),Jun,2017,"1,110",0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transfer Payment Common Registration & Grants Ontario Queues (English + French),Jul,2017,"1,047",4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transfer Payment Common Registration & Grants Ontario Queues (English + French),Aug,2017,831,1.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transfer Payment Common Registration & Grants Ontario Queues (English + French),Sep,2017,"1,092",1.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transfer Payment Common Registration & Grants Ontario Queues (English + French),Oct,2017,"1,394",0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transfer Payment Common Registration & Grants Ontario Queues (English + French),Nov,2017,"1,679",2.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transfer Payment Common Registration & Grants Ontario Queues (English + French),Dec,2017,"1,100",1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transfer Payment Common Registration & Grants Ontario Queues (English + French),Jan,2018,"2,189",1.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transfer Payment Common Registration & Grants Ontario Queues (English + French),Feb,2018,"1,691",0.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transfer Payment Common Registration & Grants Ontario Queues (English + French),Mar,2018,"2,589",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transfer Payment Common Registration & Grants Ontario Queues (English + French),Apr,2018,"2,051",1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transfer Payment Common Registration & Grants Ontario Queues (English + French),May,2018,"1,690",0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transfer Payment Common Registration & Grants Ontario Queues (English + French),Jun,2018,"1,529",0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transfer Payment Common Registration & Grants Ontario Queues (English + French),Jul,2018,"1,064",0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transfer Payment Common Registration & Grants Ontario Queues (English + French),Aug,2018,798,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transfer Payment Common Registration & Grants Ontario Queues (English + French),Sep,2018,813,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transfer Payment Common Registration & Grants Ontario Queues (English + French),Oct,2018,888,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transfer Payment Common Registration & Grants Ontario Queues (English + French),Nov,2018,874,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transfer Payment Common Registration & Grants Ontario Queues (English + French),Dec,2018,708,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transfer Payment Common Registration & Grants Ontario Queues (English + French),Jan,2019,"1,205",0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transfer Payment Common Registration & Grants Ontario Queues (English + French),Feb,2019,782,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transfer Payment Common Registration & Grants Ontario Queues (English + French),Mar,2019,"1,035",1.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transfer Payment Common Registration & Grants Ontario Queues (English + French),Apr,2019,"1,068",0.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transfer Payment Common Registration & Grants Ontario Queues (English + French),May,2019,"1,231",0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transfer Payment Common Registration & Grants Ontario Queues (English + French),Jun,2019,"1,616",11.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transfer Payment Common Registration & Grants Ontario Queues (English + French),Jul,2019,793,7.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transfer Payment Common Registration & Grants Ontario Queues (English + French),Aug,2019,608,3.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transfer Payment Common Registration & Grants Ontario Queues (English + French),Sep,2019,797,3.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy and Water Reporting and Benchmarking Queues (English + French),Oct,2017,3,0.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy and Water Reporting and Benchmarking Queues (English + French),Nov,2017,13,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy and Water Reporting and Benchmarking Queues (English + French),Dec,2017,62,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy and Water Reporting and Benchmarking Queues (English + French),Jan,2018,141,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy and Water Reporting and Benchmarking Queues (English + French),Feb,2018,69,1.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy and Water Reporting and Benchmarking Queues (English + French),Mar,2018,46,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy and Water Reporting and Benchmarking Queues (English + French),Apr,2018,41,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy and Water Reporting and Benchmarking Queues (English + French),May,2018,130,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy and Water Reporting and Benchmarking Queues (English + French),Jun,2018,154,0.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy and Water Reporting and Benchmarking Queues (English + French),Jul,2018,20,0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy and Water Reporting and Benchmarking Queues (English + French),Aug,2018,4,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy and Water Reporting and Benchmarking Queues (English + French),Sep,2018,7,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy and Water Reporting and Benchmarking Queues (English + French),Oct,2018,11,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy and Water Reporting and Benchmarking Queues (English + French),Nov,2018,17,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy and Water Reporting and Benchmarking Queues (English + French),Dec,2018,538,2.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy and Water Reporting and Benchmarking Queues (English + French),Jan,2019,458,1.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy and Water Reporting and Benchmarking Queues (English + French),Feb,2019,199,1.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy and Water Reporting and Benchmarking Queues (English + French),Mar,2019,381,2.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy and Water Reporting and Benchmarking Queues (English + French),Apr,2019,258,2.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy and Water Reporting and Benchmarking Queues (English + French),May,2019,316,3.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy and Water Reporting and Benchmarking Queues (English + French),Jun,2019,706,2.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy and Water Reporting and Benchmarking Queues (English + French),Jul,2019,201,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy and Water Reporting and Benchmarking Queues (English + French),Aug,2019,25,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy and Water Reporting and Benchmarking Queues (English + French),Sep,2019,19,5.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Community and Social Services Mobile Pilot Queues (English + French),Apr,2018,7,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Community and Social Services Mobile Pilot Queues (English + French),May,2018,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Community and Social Services Mobile Pilot Queues (English + French),Jun,2018,1,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Community and Social Services Mobile Pilot Queues (English + French),Jul,2018,4,2.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Community and Social Services Mobile Pilot Queues (English + French),Aug,2018,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Community and Social Services Mobile Pilot Queues (English + French),Sep,2018,2,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Community and Social Services Mobile Pilot Queues (English + French),Oct,2018,5,0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Community and Social Services Mobile Pilot Queues (English + French),Nov,2018,17,1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Community and Social Services Mobile Pilot Queues (English + French),Dec,2018,24,1.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Community and Social Services Mobile Pilot Queues (English + French),Jan,2019,59,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Community and Social Services Mobile Pilot Queues (English + French),Feb,2019,44,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Community and Social Services Mobile Pilot Queues (English + French),Mar,2019,94,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Community and Social Services Mobile Pilot Queues (English + French),Apr,2019,69,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Community and Social Services Mobile Pilot Queues (English + French),May,2019,123,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Community and Social Services Mobile Pilot Queues (English + French),Jun,2019,115,0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ministry of Children, Community and Social Services Programs Queues (English + French)",Jul,2019,"3,768",2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ministry of Children, Community and Social Services Programs Queues (English + French)",Aug,2019,"3,695",1.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ministry of Children, Community and Social Services Programs Queues (English + French)",Sep,2019,"4,035",1.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
